,px,py,x_,y_
0,-114.0,5.0,-0.29457364341085274,0.013297872340425532
1,272.0,-5.0,0.7028423772609819,-0.013297872340425532
2,-65.0,-188.0,-0.16795865633074936,-0.5
3,-93.0,188.0,-0.24031007751937986,0.5
0,93.0,166.0,0.248,0.526984126984127
1,9.0,21.0,0.024,0.06666666666666667
2,136.0,-38.0,0.3626666666666667,-0.12063492063492064
3,-238.0,-148.0,-0.6346666666666667,-0.46984126984126984
0,295.0,129.0,0.4638364779874214,0.3543956043956044
1,324.0,-31.0,0.5094339622641509,-0.08516483516483517
2,-307.0,133.0,-0.4827044025157233,0.36538461538461536
3,-311.0,-231.0,-0.4889937106918239,-0.6346153846153846
0,44.0,34.0,0.14814814814814814,0.20238095238095238
1,99.0,-113.0,0.3333333333333333,-0.6726190476190477
2,-197.0,55.0,-0.6632996632996633,0.3273809523809524
3,53.0,24.0,0.17845117845117844,0.14285714285714285
0,1.0,99.0,0.003205128205128205,0.4479638009049774
1,-160.0,-122.0,-0.5128205128205128,-0.5520361990950227
2,151.0,-70.0,0.483974358974359,-0.3167420814479638
3,8.0,93.0,0.02564102564102564,0.42081447963800905
0,320.0,75.0,0.5039370078740157,0.19946808510638298
1,301.0,104.0,0.47401574803149604,0.2765957446808511
2,-308.0,93.0,-0.48503937007874015,0.2473404255319149
3,-314.0,-272.0,-0.494488188976378,-0.723404255319149
0,291.0,-2.0,0.6258064516129033,-0.005494505494505495
1,51.0,15.0,0.10967741935483871,0.04120879120879121
2,-169.0,175.0,-0.3634408602150538,0.4807692307692308
3,-173.0,-188.0,-0.3720430107526882,-0.5164835164835165
0,-71.0,157.0,-0.21779141104294478,0.3333333333333333
1,-82.0,-20.0,-0.25153374233128833,-0.04246284501061571
2,239.0,-304.0,0.7331288343558282,-0.6454352441613588
3,-86.0,167.0,-0.26380368098159507,0.35456475583864117
0,-92.0,121.0,-0.15181518151815182,0.4763779527559055
1,350.0,39.0,0.5775577557755776,0.15354330708661418
2,-1.0,-29.0,-0.0016501650165016502,-0.1141732283464567
3,-255.0,-132.0,-0.4207920792079208,-0.5196850393700787
0,236.0,128.0,0.4564796905222437,0.3395225464190981
1,262.0,-22.0,0.5067698259187621,-0.058355437665782495
2,-245.0,135.0,-0.4738878143133462,0.35809018567639256
3,-254.0,-241.0,-0.4912959381044487,-0.6392572944297082
0,57.0,124.0,0.1168032786885246,0.45925925925925926
1,11.0,75.0,0.022540983606557378,0.2777777777777778
2,210.0,-53.0,0.430327868852459,-0.1962962962962963
3,-278.0,-146.0,-0.569672131147541,-0.5407407407407407
0,-75.0,117.0,-0.15789473684210525,0.40625
1,33.0,90.0,0.06947368421052631,0.3125
2,258.0,-36.0,0.5431578947368421,-0.125
3,-216.0,-170.0,-0.45473684210526316,-0.5902777777777778
